date,occupancy_pred,adr_pred,lower_bound,upper_bound
2026-04-21,73.73358,6841.1733,66.36022,81.10694
2026-04-22,73.73358,6845.8477,66.36022,81.10694
2026-04-23,73.73358,6882.737,66.36022,81.10694
2026-04-24,74.54392,6888.0366,67.08953,81.998314
2026-04-25,74.44087,6880.4136,66.99678,81.884964
2026-04-26,69.51162,6813.1772,62.560455,76.46278
2026-04-27,75.25485,6834.5483,67.72936,82.78034
2026-04-28,73.73358,6841.1733,66.36022,81.10694
2026-04-29,73.73358,6845.8477,66.36022,81.10694
2026-04-30,73.73358,6882.737,66.36022,81.10694
2026-05-01,74.54392,6957.303,67.08953,81.998314
2026-05-02,74.44087,6949.68,66.99678,81.884964
2026-05-03,69.51162,6814.2114,62.560455,76.46278
2026-05-04,75.25485,6918.67,67.72936,82.78034
2026-05-05,73.73358,6925.295,66.36022,81.10694
2026-05-06,73.73358,6929.969,66.36022,81.10694
2026-05-07,73.73358,6946.545,66.36022,81.10694
2026-05-08,74.54392,6957.303,67.08953,81.998314
2026-05-09,74.44087,6949.68,66.99678,81.884964
2026-05-10,69.51162,6814.2114,62.560455,76.46278
2026-05-11,75.25485,6918.67,67.72936,82.78034
2026-05-12,73.73358,6925.295,66.36022,81.10694
2026-05-13,73.73358,6929.969,66.36022,81.10694
2026-05-14,73.73358,6946.545,66.36022,81.10694
2026-05-15,74.54392,6957.303,67.08953,81.998314
2026-05-16,74.44087,6921.805,66.99678,81.884964
2026-05-17,69.51162,6822.8716,62.560455,76.46278
2026-05-18,75.25485,6927.33,67.72936,82.78034
2026-05-19,73.73358,6933.955,66.36022,81.10694
2026-05-20,73.73358,6938.6294,66.36022,81.10694
